coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,2,2,55907,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,43269,2,2,11,2,471,1,1,6,1
1,2,2,43269,1,1,8,65,-1,2,2,6,0
1,0,2,45927,2,2,11,3,12,1,1,6,0
1,2,2,45927,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,36962,2,2,11,1,-1,1,1,6,0
1,2,2,36962,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,51601,2,2,11,1,-1,1,1,11,0
1,2,2,51601,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,6329,2,2,11,1,-1,1,1,8,0
1,2,2,6329,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,35154,2,2,11,2,297,1,1,6,1
1,2,2,35154,1,1,8,65,-1,2,2,6,0
1,0,2,42744,2,2,11,3,16,1,1,11,0
1,2,2,42744,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,7458,2,2,11,3,13,1,1,8,0
1,2,2,7458,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,34773,2,2,11,1,-1,1,1,6,0
1,2,2,34773,-1,-1,-1,69,297,-1,-1,-1,0
1,0,2,24853,2,2,11,1,-1,1,1,11,0
1,2,2,24853,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,11510,2,2,11,1,-1,1,1,8,0
1,2,2,11510,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,33748,2,2,11,1,-1,1,1,6,0
1,2,2,33748,-1,-1,-1,69,297,-1,-1,-1,0
1,0,2,4246,2,2,11,1,-1,1,1,11,0
1,2,2,4246,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,6287,2,2,11,1,-1,1,1,8,0
1,2,2,6287,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,46951,2,2,11,3,12,1,1,6,0
1,2,2,46951,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,39034,2,2,11,2,379,1,1,6,1
1,2,2,39034,1,1,8,65,-1,2,2,6,0
1,0,2,19265,2,2,11,1,-1,1,1,6,0
1,2,2,19265,-1,-1,-1,69,379,-1,-1,-1,0
1,0,2,22160,2,2,11,3,16,1,1,11,0
1,2,2,22160,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,44598,2,2,11,1,-1,1,1,11,0
1,2,2,44598,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,22871,2,2,11,1,-1,1,1,8,0
1,2,2,22871,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,8747,2,2,11,1,-1,1,1,6,0
1,2,2,8747,-1,-1,-1,69,379,-1,-1,-1,0
1,0,2,18708,2,2,11,1,-1,1,1,11,0
1,2,2,18708,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,6326,2,2,11,1,-1,1,1,8,0
1,2,2,6326,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,15688,2,2,11,3,13,1,1,8,0
1,2,2,15688,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,28958,2,2,11,2,525,1,1,6,1
1,2,2,28958,1,1,8,65,-1,2,2,6,0
1,0,2,10887,2,2,11,3,12,1,1,6,0
1,2,2,10887,-1,-1,-1,68,-1,-1,-1,-1,0
